MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,PLAYER_ID,PLAYER,PLAYER_NAME,IS_STARTER,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS,TS%,eFG%,3PAr,FTr,PPS_2,PPS_3,FTA_PER_PFD,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
2486403,17,981525,FLEXICAR FUENLABRADA,AWAY,2820728,J. Belemene-Dzabatou,J. Belemene-Dzabatou,1,26.0,1560.0,6.0,0.0,2.0,2.0,4.0,2.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,5.0,50.0,50.0,66.7,0.0,0.0,1.5,0.0,5.8,4.1,4.8,0.0,0.0,4.3,14.3,13.0
2486403,17,981525,FLEXICAR FUENLABRADA,AWAY,2820727,J. Kasibabu Shilala,J. Kasibabu Shilala,0,6.5,387.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,-3.0,-4.0,56.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2,14.0
2486404,17,980004,LEYMA CORUÑA,HOME,2557970,D. Cuevas Simarro,D. Cuevas Simarro,0,21.2,1273.0,4.0,0.0,1.0,0.0,2.0,0.0,3.0,4.0,6.0,0.0,2.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,4.0,14.0,16.0,35.5,0.0,66.7,200.0,0.0,0.0,1.5,0.0,10.8,5.5,68.8,0.0,0.0,26.2,15.5
2486404,17,980004,LEYMA CORUÑA,HOME,2371535,P. Jorgensen,P. Jorgensen,1,18.8,1127.0,4.0,1.0,5.0,0.0,3.0,1.0,8.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,8.0,22.5,12.5,37.5,25.0,0.4,0.0,2.0,6.4,6.1,6.3,13.3,2.9,0.0,0.0,20.3
2486404,17,980004,LEYMA CORUÑA,HOME,1491674,G. Jou Coll,G. Jou Coll,1,17.1,1025.0,12.0,1.0,1.0,3.0,5.0,4.0,6.0,1.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0,17.0,93.2,91.7,83.3,16.7,2.0,1.8,0.5,7.1,26.7,17.2,22.7,0.0,0.0,0.0,16.2
2486404,17,980004,LEYMA CORUÑA,HOME,2814191,M. Braz,M. Braz,0,5.0,299.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,22.9,23.5,0.0,0.0,22.9,50.0,17.2
2486404,17,980004,LEYMA CORUÑA,HOME,2843861,D. Radoncic,D. Radoncic,1,20.1,1206.0,10.0,3.0,4.0,1.0,4.0,4.0,8.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,10.0,11.0,56.3,56.2,50.0,25.0,1.5,0.8,0.7,6.0,11.4,8.8,25.0,0.0,0.0,10.1,21.1
2486404,17,980004,LEYMA CORUÑA,HOME,2644143,C. De Souza Pacheco,C. De Souza Pacheco,1,18.8,1127.0,6.0,1.0,4.0,1.0,3.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,6.0,40.3,35.7,42.9,14.3,0.5,1.0,1.0,0.0,0.0,0.0,28.6,2.9,0.0,21.2,21.5
2486404,17,980004,LEYMA CORUÑA,HOME,2814190,D. Brnovic,D. Brnovic,0,11.3,677.0,6.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,14.0,75.0,75.0,100.0,0.0,0.0,1.5,0.0,10.7,40.5,26.0,0.0,4.8,0.0,0.0,15.2
2486404,17,980004,LEYMA CORUÑA,HOME,1848359,I. Diop Gaye,I. Diop Gaye,0,18.8,1127.0,6.0,3.0,5.0,0.0,2.0,3.0,7.0,0.0,0.0,4.0,6.0,10.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,11.0,-2.0,42.9,42.9,28.6,0.0,1.2,0.0,0.0,25.8,36.5,31.3,7.7,2.9,0.0,12.5,18.3
2486404,17,980004,LEYMA CORUÑA,HOME,2452677,J. Cremo,J. Cremo,0,21.2,1273.0,16.0,1.0,4.0,4.0,6.0,5.0,10.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,15.0,14.0,73.5,70.0,60.0,20.0,0.5,2.0,1.0,5.7,16.2,11.1,9.1,2.6,0.0,8.4,24.0
2486404,17,980004,LEYMA CORUÑA,HOME,2862313,S. Barro,S. Barro,1,15.8,949.0,9.0,2.0,2.0,0.0,0.0,2.0,2.0,5.0,6.0,2.0,5.0,7.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,17.0,13.0,97.0,100.0,0.0,300.0,2.0,0.0,2.0,15.3,36.2,26.1,18.5,0.0,7.2,17.7,15.3
2486404,17,980004,LEYMA CORUÑA,HOME,2815798,A. Thiam,A. Thiam,0,17.6,1053.0,8.0,4.0,11.0,0.0,0.0,4.0,11.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,14.0,36.4,36.4,0.0,0.0,0.7,0.0,0.0,13.8,13.0,13.4,11.4,0.0,0.0,0.0,26.8
2486404,17,980004,LEYMA CORUÑA,HOME,1541543,J. Diaz Alejano,J. Diaz Alejano,0,14.4,864.0,13.0,3.0,3.0,2.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,12.0,-1.0,100.9,100.0,50.0,16.7,2.0,2.0,1.0,8.4,7.9,8.2,0.0,0.0,0.0,23.7,25.1
2486404,17,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,1843906,A. Scariolo Ares,A. Scariolo Ares,0,21.7,1302.0,9.0,3.0,5.0,0.0,1.0,3.0,6.0,3.0,5.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,6.0,12.0,-15.0,54.9,50.0,16.7,83.3,1.2,0.0,0.8,0.0,5.6,2.7,28.6,2.4,0.0,10.9,22.0
2486404,17,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,2788739,L. Smith,L. Smith,0,18.8,1127.0,8.0,4.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,-9.0,80.0,80.0,0.0,0.0,1.6,0.0,0.0,6.1,0.0,3.1,0.0,0.0,0.0,0.0,13.8
2486404,17,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,2821058,J. Bocca,J. Bocca,1,28.1,1683.0,7.0,0.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,7.0,-12.0,65.8,75.0,75.0,75.0,0.0,2.0,1.5,0.0,4.3,2.1,11.8,1.8,0.0,0.0,9.8
2486404,17,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,2027826,O. Matulionis,O. Matulionis,0,17.2,1035.0,6.0,1.0,2.0,1.0,5.0,2.0,7.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,-1.0,-15.0,38.1,35.7,71.4,28.6,1.0,0.6,1.0,0.0,7.0,3.4,0.0,3.0,0.0,20.2,29.8
2486404,17,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,2008018,O. Siquier Costa,O. Siquier Costa,0,5.4,325.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,9.5,0.0,0.0,19.2
2486404,17,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,1509876,J. Aramburu Lamy,J. Aramburu Lamy,1,29.7,1781.0,13.0,3.0,4.0,1.0,2.0,4.0,6.0,4.0,6.0,1.0,10.0,11.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,22.0,-9.0,75.2,75.0,33.3,100.0,1.5,1.5,1.2,3.8,40.8,21.8,6.7,0.0,0.0,18.8,18.6
2486404,17,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,2583212,L. Bracey,L. Bracey,1,27.4,1643.0,14.0,5.0,8.0,1.0,4.0,6.0,12.0,1.0,3.0,1.0,1.0,2.0,6.0,0.0,1.0,0.0,1.0,3.0,3.0,15.0,-13.0,52.6,54.2,33.3,25.0,1.2,0.8,1.0,4.2,4.4,4.3,46.5,1.9,0.0,0.0,25.2
2486404,17,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,2783882,B. Vazquez Arraiza,B. Vazquez Arraiza,1,23.1,1386.0,8.0,2.0,4.0,1.0,8.0,3.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,-18.0,31.1,29.2,66.7,16.7,1.0,0.4,2.0,0.0,0.0,0.0,0.0,4.4,4.2,0.0,28.9
2486404,17,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,2819257,P. Bombino Parada,P. Bombino Parada,1,28.6,1718.0,7.0,3.0,6.0,0.0,0.0,3.0,6.0,1.0,2.0,1.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,8.0,-21.0,50.9,50.0,0.0,33.3,1.0,0.0,1.0,4.0,17.0,10.3,18.9,0.0,0.0,22.5,16.1
2486405,17,981421,MONBUS OBRADOIRO,HOME,2433193,M. Speight,M. Speight,0,10.5,629.0,3.0,0.0,3.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,-3.0,-6.0,30.0,30.0,40.0,0.0,0.0,1.5,0.0,0.0,11.2,5.2,0.0,4.8,0.0,16.7,26.2
