MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2486372,13,981125,CAJA RURAL CB ZAMORA,HOME,89.2,77.8,116.6,118.7,-2.1,55.2,52.5,12.9,42.2,62.5,51.8,1.1,37.0,225,13500.0,104.0,26.0,53.0,11.0,28.0,37.0,81.0,19.0,30.0,19.0,25.0,44.0,15.0,14.0,12.0,2.0,1.0,21.0,26.0,113.0,10.0
2486373,13,981300,HESTIA MENORCA,AWAY,79.9,79.6,118.9,81.9,37.0,58.0,55.4,7.9,24.3,90.3,54.4,2.4,24.3,200,12000.0,95.0,29.0,42.0,8.0,32.0,37.0,74.0,13.0,18.0,9.0,28.0,37.0,17.0,7.0,12.0,0.0,3.0,22.0,20.0,110.0,150.0
2486373,13,979769,MELILLA CIUDAD DEL DEPORTE,HOME,79.4,79.7,81.9,118.9,-37.0,53.8,47.1,26.7,9.7,75.7,45.6,0.6,36.5,200,12000.0,65.0,14.0,26.0,7.0,26.0,21.0,52.0,16.0,19.0,3.0,28.0,31.0,13.0,22.0,5.0,3.0,0.0,20.0,22.0,63.0,-150.0
2486375,14,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,AWAY,79.4,77.4,97.0,126.1,-29.1,53.9,51.5,14.4,11.8,87.5,43.1,1.5,14.9,200,12000.0,77.0,18.0,33.0,11.0,34.0,29.0,67.0,8.0,10.0,4.0,21.0,25.0,18.0,12.0,6.0,4.0,2.0,20.0,15.0,73.0,-90.0
2486375,14,979989,HLA ALICANTE,HOME,75.4,77.4,126.1,97.0,29.1,70.5,67.8,14.0,12.5,88.2,56.9,2.2,32.2,200,12000.0,95.0,16.0,26.0,16.0,33.0,32.0,59.0,15.0,19.0,3.0,30.0,33.0,24.0,11.0,7.0,2.0,4.0,16.0,20.0,123.0,90.0
2486376,14,981214,FIBWI MALLORCA BASQUET PALMA,HOME,77.4,77.5,105.9,103.1,2.8,51.6,46.9,10.2,33.3,72.2,53.6,1.0,54.7,200,12000.0,82.0,21.0,44.0,6.0,20.0,27.0,64.0,22.0,35.0,11.0,26.0,37.0,9.0,9.0,2.0,2.0,2.0,23.0,26.0,76.0,10.0
2486376,14,981215,PALMER BASKET MALLORCA PALMA,AWAY,77.6,77.5,103.1,105.9,-2.8,52.2,47.7,12.6,27.8,66.7,46.4,0.8,36.4,200,12000.0,80.0,18.0,37.0,9.0,29.0,27.0,66.0,17.0,24.0,10.0,22.0,32.0,9.0,11.0,3.0,2.0,2.0,28.0,22.0,63.0,-10.0
2486377,14,981525,FLEXICAR FUENLABRADA,AWAY,68.8,68.8,101.7,116.1,-14.4,52.4,48.3,16.3,33.3,66.7,49.2,1.2,34.5,200,12000.0,70.0,22.0,42.0,4.0,16.0,26.0,58.0,14.0,20.0,11.0,20.0,31.0,16.0,13.0,4.0,1.0,0.0,21.0,23.0,73.0,-50.0
2486377,14,981300,HESTIA MENORCA,HOME,68.9,68.9,116.1,101.7,14.4,59.8,55.1,15.2,33.3,66.7,50.8,1.6,30.5,200,12000.0,80.0,16.0,28.0,11.0,31.0,27.0,59.0,15.0,18.0,10.0,22.0,32.0,19.0,12.0,4.0,0.0,1.0,23.0,21.0,86.0,50.0
2486378,14,980004,LEYMA CORUÑA,AWAY,80.0,77.6,123.8,137.1,-13.3,68.8,64.8,16.3,23.1,58.6,41.8,1.2,41.0,200,12000.0,99.0,23.0,34.0,11.0,27.0,34.0,61.0,20.0,25.0,6.0,17.0,23.0,17.0,14.0,10.0,0.0,1.0,25.0,22.0,100.0,-20.0
2486378,14,981421,MONBUS OBRADOIRO,HOME,75.1,77.6,137.1,123.8,13.3,66.8,61.9,11.5,41.4,76.9,58.2,2.6,34.3,200,12000.0,103.0,22.0,37.0,13.0,30.0,35.0,67.0,20.0,23.0,12.0,20.0,32.0,26.0,10.0,8.0,1.0,0.0,22.0,24.0,127.0,20.0
2486379,14,979907,GRUPO ALEGA CANTABRIA,AWAY,71.4,72.2,107.9,120.7,-12.8,60.8,56.4,17.0,20.8,60.6,43.9,0.8,34.5,200,12000.0,77.0,19.0,34.0,8.0,21.0,27.0,55.0,15.0,19.0,5.0,20.0,25.0,10.0,13.0,8.0,1.0,5.0,23.0,18.0,71.0,-55.0
2486379,14,981203,INVEREADY GIPUZKOA,HOME,72.9,72.2,120.7,107.9,12.8,60.4,54.9,15.1,39.4,79.2,56.1,1.0,44.3,200,12000.0,88.0,23.0,40.0,7.0,21.0,30.0,61.0,21.0,27.0,13.0,19.0,32.0,13.0,13.0,6.0,5.0,1.0,19.0,23.0,98.0,55.0
2486380,14,981125,CAJA RURAL CB ZAMORA,AWAY,68.8,67.1,112.0,131.3,-19.3,55.2,47.4,12.5,42.3,53.3,48.2,0.8,50.9,200,12000.0,77.0,18.0,41.0,6.0,16.0,24.0,57.0,23.0,29.0,11.0,16.0,27.0,8.0,10.0,4.0,1.0,4.0,26.0,22.0,64.0,-45.0
2486380,14,981431,MOVISTAR ESTUDIANTES,HOME,65.5,67.1,131.3,112.0,19.3,59.3,56.9,8.8,46.7,57.7,51.8,2.0,26.2,200,12000.0,86.0,16.0,32.0,14.0,33.0,30.0,65.0,12.0,17.0,14.0,15.0,29.0,14.0,7.0,5.0,4.0,1.0,24.0,25.0,92.0,45.0
2486381,14,981124,ALIMERKA OVIEDO BALONCESTO,HOME,76.3,78.3,98.3,91.0,7.3,55.7,48.2,22.0,35.7,84.8,62.3,0.8,50.9,200,12000.0,75.0,16.0,32.0,7.0,23.0,23.0,55.0,22.0,28.0,10.0,28.0,38.0,15.0,19.0,4.0,3.0,4.0,22.0,22.0,78.0,10.0
2486381,14,981493,CLUB OURENSE BALONCESTO,AWAY,80.2,78.3,91.0,98.3,-7.3,47.3,43.4,9.4,15.2,64.3,37.7,1.5,30.9,200,12000.0,73.0,28.0,51.0,1.0,17.0,29.0,68.0,14.0,21.0,5.0,18.0,23.0,12.0,8.0,8.0,4.0,3.0,22.0,21.0,65.0,-10.0
2486382,14,979920,GRUPO URETA TIZONA BURGOS,AWAY,78.8,77.3,96.4,120.2,-23.8,50.1,45.5,14.6,27.0,71.0,47.1,1.0,29.9,200,12000.0,76.0,14.0,30.0,11.0,37.0,25.0,67.0,15.0,20.0,10.0,22.0,32.0,13.0,13.0,4.0,2.0,2.0,21.0,21.0,67.0,-75.0
