match_id,jornada,fecha_jornada,equipo_local,equipo_visitante,resultado
2486454,Jornada 22,20/02/2026,CAJA RURAL CB ZAMORA,INVEREADY GIPUZKOA,70-101
2486455,Jornada 22,20/02/2026,MELILLA CIUDAD DEL DEPORTE,GRUPO ALEGA CANTABRIA,83-77
2486456,Jornada 23,06/03/2026,FIBWI MALLORCA BASQUET PALMA,GRUPO ALEGA CANTABRIA,68-73
2486457,Jornada 23,06/03/2026,PALMER BASKET MALLORCA PALMA,GRUPO URETA TIZONA BURGOS,88-72
2486458,Jornada 23,06/03/2026,LEYMA CORUÑA,HLA ALICANTE,83-74
2486459,Jornada 23,06/03/2026,INVEREADY GIPUZKOA,CLOUD.GAL OURENSE BALONCESTO,81-79
2486460,Jornada 23,06/03/2026,MOVISTAR ESTUDIANTES,HESTIA MENORCA,85-78
2486461,Jornada 23,06/03/2026,FLEXICAR FUENLABRADA,MONBUS OBRADOIRO,77-97
2486462,Jornada 23,06/03/2026,ALIMERKA OVIEDO BALONCESTO,GRUPO CAESA SEGUROS FC CARTAGENA CB,92-80
2486463,Jornada 23,06/03/2026,SÚPER AGROPAL PALENCIA,CAJA RURAL CB ZAMORA,77-66
2486465,Jornada 24,10/03/2026,FIBWI MALLORCA BASQUET PALMA,HLA ALICANTE,102-104
2486466,Jornada 24,10/03/2026,HESTIA MENORCA,PALMER BASKET MALLORCA PALMA,89-74
2486467,Jornada 24,10/03/2026,GRUPO URETA TIZONA BURGOS,SÚPER AGROPAL PALENCIA,74-91
2486468,Jornada 24,10/03/2026,MONBUS OBRADOIRO,GRUPO CAESA SEGUROS FC CARTAGENA CB,101-49
2486469,Jornada 24,10/03/2026,INVEREADY GIPUZKOA,FLEXICAR FUENLABRADA,90-74
2486470,Jornada 24,10/03/2026,CLOUD.GAL OURENSE BALONCESTO,LEYMA CORUÑA,59-74
2486472,Jornada 24,10/03/2026,CAJA RURAL CB ZAMORA,MOVISTAR ESTUDIANTES,75-86
2486473,Jornada 24,10/03/2026,MELILLA CIUDAD DEL DEPORTE,ALIMERKA OVIEDO BALONCESTO,79-87
2486474,Jornada 25,15/03/2026,HLA ALICANTE,MONBUS OBRADOIRO,80-103
2486475,Jornada 25,15/03/2026,PALMER BASKET MALLORCA PALMA,GRUPO ALEGA CANTABRIA,86-83
2486476,Jornada 25,15/03/2026,MOVISTAR ESTUDIANTES,FIBWI MALLORCA BASQUET PALMA,90-66
2486477,Jornada 25,15/03/2026,FLEXICAR FUENLABRADA,HESTIA MENORCA,78-71
2486478,Jornada 25,15/03/2026,GRUPO CAESA SEGUROS FC CARTAGENA CB,MELILLA CIUDAD DEL DEPORTE,82-68
2486479,Jornada 25,15/03/2026,CLOUD.GAL OURENSE BALONCESTO,GRUPO URETA TIZONA BURGOS,79-77
2486480,Jornada 25,15/03/2026,ALIMERKA OVIEDO BALONCESTO,INVEREADY GIPUZKOA,90-71
2486481,Jornada 25,15/03/2026,SÚPER AGROPAL PALENCIA,LEYMA CORUÑA,99-87
2486483,Jornada 26,20/03/2026,FIBWI MALLORCA BASQUET PALMA,ALIMERKA OVIEDO BALONCESTO,DOMINGO22/03/202618:00
2486484,Jornada 26,20/03/2026,LEYMA CORUÑA,GRUPO URETA TIZONA BURGOS,VIERNES20/03/202620:30
2486485,Jornada 26,20/03/2026,MONBUS OBRADOIRO,PALMER BASKET MALLORCA PALMA,SÁBADO21/03/202618:30
2486486,Jornada 26,20/03/2026,INVEREADY GIPUZKOA,SÚPER AGROPAL PALENCIA,SÁBADO21/03/202618:00
2486487,Jornada 26,20/03/2026,GRUPO CAESA SEGUROS FC CARTAGENA CB,HLA ALICANTE,SÁBADO21/03/202619:00
2486488,Jornada 26,20/03/2026,GRUPO ALEGA CANTABRIA,MOVISTAR ESTUDIANTES,SÁBADO21/03/202619:00
2486489,Jornada 26,20/03/2026,CAJA RURAL CB ZAMORA,HESTIA MENORCA,SÁBADO21/03/202619:30
2486490,Jornada 26,20/03/2026,MELILLA CIUDAD DEL DEPORTE,FLEXICAR FUENLABRADA,DOMINGO22/03/202618:00
2486492,Jornada 27,27/03/2026,HLA ALICANTE,MOVISTAR ESTUDIANTES,SÁBADO28/03/202619:00
2486493,Jornada 27,27/03/2026,FIBWI MALLORCA BASQUET PALMA,MONBUS OBRADOIRO,DOMINGO29/03/202618:00
2486494,Jornada 27,27/03/2026,HESTIA MENORCA,ALIMERKA OVIEDO BALONCESTO,SÁBADO28/03/202619:30
2486495,Jornada 27,27/03/2026,GRUPO URETA TIZONA BURGOS,GRUPO ALEGA CANTABRIA,VIERNES27/03/202620:45
2486496,Jornada 27,27/03/2026,LEYMA CORUÑA,GRUPO CAESA SEGUROS FC CARTAGENA CB,VIERNES27/03/202620:45
2486498,Jornada 27,27/03/2026,FLEXICAR FUENLABRADA,PALMER BASKET MALLORCA PALMA,SÁBADO28/03/202618:30
2486499,Jornada 27,27/03/2026,CLOUD.GAL OURENSE BALONCESTO,CAJA RURAL CB ZAMORA,SÁBADO28/03/202619:00
2486500,Jornada 27,27/03/2026,SÚPER AGROPAL PALENCIA,MELILLA CIUDAD DEL DEPORTE,VIERNES27/03/202621:00
2486501,Jornada 28,03/04/2026,HESTIA MENORCA,GRUPO URETA TIZONA BURGOS,SÁBADO04/04/202620:45
2486502,Jornada 28,03/04/2026,PALMER BASKET MALLORCA PALMA,CLOUD.GAL OURENSE BALONCESTO,DOMINGO05/04/202618:00
2486503,Jornada 28,03/04/2026,MONBUS OBRADOIRO,SÚPER AGROPAL PALENCIA,DOMINGO05/04/202618:30
2486504,Jornada 28,03/04/2026,MOVISTAR ESTUDIANTES,GRUPO CAESA SEGUROS FC CARTAGENA CB,DOMINGO05/04/202611:30
2486505,Jornada 28,03/04/2026,ALIMERKA OVIEDO BALONCESTO,HLA ALICANTE,DOMINGO05/04/202612:00
2486506,Jornada 28,03/04/2026,GRUPO ALEGA CANTABRIA,LEYMA CORUÑA,SÁBADO04/04/202619:00
2486507,Jornada 28,03/04/2026,CAJA RURAL CB ZAMORA,FLEXICAR FUENLABRADA,SÁBADO04/04/202619:30
2486508,Jornada 28,03/04/2026,MELILLA CIUDAD DEL DEPORTE,INVEREADY GIPUZKOA,DOMINGO05/04/202618:00
2486510,Jornada 29,10/04/2026,HLA ALICANTE,INVEREADY GIPUZKOA,SÁBADO11/04/202619:00
2486511,Jornada 29,10/04/2026,PALMER BASKET MALLORCA PALMA,MELILLA CIUDAD DEL DEPORTE,DOMINGO12/04/202618:00
2486512,Jornada 29,10/04/2026,GRUPO URETA TIZONA BURGOS,MOVISTAR ESTUDIANTES,VIERNES10/04/202620:45
2486513,Jornada 29,10/04/2026,LEYMA CORUÑA,MONBUS OBRADOIRO,SÁBADO11/04/202619:00
2486514,Jornada 29,10/04/2026,GRUPO CAESA SEGUROS FC CARTAGENA CB,HESTIA MENORCA,SÁBADO11/04/202619:00
2486515,Jornada 29,10/04/2026,CLOUD.GAL OURENSE BALONCESTO,GRUPO ALEGA CANTABRIA,SÁBADO11/04/202619:00
2486516,Jornada 29,10/04/2026,ALIMERKA OVIEDO BALONCESTO,FLEXICAR FUENLABRADA,SÁBADO11/04/202619:00
2486518,Jornada 29,10/04/2026,CAJA RURAL CB ZAMORA,FIBWI MALLORCA BASQUET PALMA,SÁBADO11/04/202619:30
2486519,Jornada 30,17/04/2026,FIBWI MALLORCA BASQUET PALMA,GRUPO CAESA SEGUROS FC CARTAGENA CB,DOMINGO19/04/202618:00
2486520,Jornada 30,17/04/2026,HESTIA MENORCA,SÚPER AGROPAL PALENCIA,SÁBADO18/04/202619:30
2486521,Jornada 30,17/04/2026,MONBUS OBRADOIRO,CLOUD.GAL OURENSE BALONCESTO,VIERNES17/04/202620:00
2486522,Jornada 30,17/04/2026,INVEREADY GIPUZKOA,PALMER BASKET MALLORCA PALMA,VIERNES17/04/202620:00
